[2025-11-30 12:58:23] [INFO] Iniciando diagnóstico v5 para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Detectando encoding para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Encoding detectado: UTF-8-SIG (confiança=1.0)
[2025-11-30 12:58:23] [INFO] Detectando delimitador para examples/broken.csv
[2025-11-30 12:58:23] [WARN] Sniffer falhou: Could not determine delimiter
[2025-11-30 12:58:23] [INFO] Delimitador escolhido por heurística: ','
[2025-11-30 12:58:23] [WARN] Linha 2: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 3: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 4: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 5: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 6: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 7: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 8: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 10: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 14: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 17: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 18: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 19: número de colunas 7, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 20: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 21: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 22: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 23: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 26: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 27: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 28: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 29: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 30: número de colunas 4, esperado 5.
